date,open,high,low,close,volume
9/9/2003,68.7599,68.8198,68.3009,68.5138,35053200
9/10/2003,68.2012,68.3808,67.5493,67.822,45904900
9/11/2003,67.9151,68.3542,67.7422,68.0216,38396300
9/12/2003,67.7888,68.2743,67.4163,68.148,42524800
9/15/2003,68.1945,68.2677,67.8154,67.9085,21312800
9/16/2003,68.0016,68.9395,67.9617,68.8996,37892600
9/17/2003,68.8331,69.0393,68.5471,68.7666,31885800
9/18/2003,68.7799,69.6446,68.6269,69.5781,30243600
9/19/2003,69.6262,69.8466,69.0453,69.2255,34331600
9/22/2003,68.678,68.7514,68.1304,68.4777,36677400
9/23/2003,68.5044,68.9718,68.3508,68.7381,32489200
9/24/2003,68.8583,68.9251,67.4894,67.5161,41694700
9/25/2003,67.7164,68.0303,66.9085,66.9619,52673100
9/26/2003,67.0687,67.2156,66.6747,66.7415,42914700
9/29/2003,66.9752,67.436,66.6347,67.3959,36771600
9/30/2003,67.0954,67.2824,66.2741,66.7415,70764500
10/1/2003,66.9352,68.2306,66.9085,68.1638,65797600
10/2/2003,68.0637,68.4843,67.8633,68.4109,44591500
10/3/2003,69.2255,69.6329,68.8316,69.0386,48806900
10/6/2003,69.0987,69.4392,68.9117,69.3524,20226500
10/7/2003,68.9518,69.6529,68.7181,69.6195,42602900
10/8/2003,69.6663,69.7063,69.0519,69.4459,30920800
10/9/2003,70.0335,70.2606,69.3324,69.6329,40066500
10/10/2003,69.6262,69.8466,69.3858,69.8265,22682800
10/13/2003,69.92,70.3073,69.7865,70.0469,23825600
10/14/2003,69.9801,70.4008,69.6863,70.2939,38484400
10/15/2003,70.6879,70.708,69.8733,70.107,39021700
10/16/2003,69.9,70.6011,69.8799,70.3874,32772200
10/17/2003,70.4275,70.5343,69.4326,69.6195,32790300
